x_axis,original_from_screenshot_cm,baseline_slow,wave_raw,wave_clean,wave_freq_hz,wave_period_s,baseline_cutoff_hz,baseline_tau_s,cleanup_cutoff_hz,slope_rms,slope_threshold,freq_valid,schmitt_state
28040.054728494037,3.818911728307185,3.818911728307185,0.0,0.0,0.12,8.333333333333334,0.03,5.305164769729845,0.03,0.0,0.001,False,0
28040.3281317663,5.082510812430698,3.882382158766567,1.2001286536641311,1.139846335315082,0.12,8.333333333333334,0.03,5.305164769729845,0.03,0.6312431903176644,0.1893729570952993,False,0
28040.601535038564,6.486509794790152,4.013187177627736,2.473322617162416,2.2918335739843902,0.12,8.333333333333334,0.03,5.305164769729845,0.03,1.0623461204912596,0.3187038361473779,False,0
28040.874938310837,7.960708726267583,4.211470711620161,3.749238014647422,3.3885413684850523,0.12,8.333333333333334,0.03,5.305164769729845,0.03,1.415981400304791,0.4247944200914373,False,0
28041.1483415831,9.224307810391096,4.4632649179308155,4.761042892460281,4.179317382054485,0.12,8.333333333333334,0.03,5.305164769729845,0.03,1.6441337292903115,0.49324011878709345,False,0
28041.421744855365,10.558106843632586,4.769408096943583,5.788698746689003,4.945427595063547,0.12,8.333333333333334,0.03,5.305164769729845,0.03,1.844782347553617,0.5534347042660851,False,0
28041.69514812763,11.891905876874077,5.127170306274095,6.764735570599981,5.624029971332616,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.021452418656978,0.6064357255970934,False,0
28041.9685513999,13.085305011879612,5.52690645817388,7.558398553705732,6.09533300696543,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.1511768395045014,0.6453530518513504,False,0
28042.241954672165,14.27870414688516,5.966508206530982,8.312195940354178,6.505099395314852,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.2631657552995175,0.6789497265898552,False,0
28042.51535794443,15.401903332772733,6.440446972195791,8.961456360576943,6.794997179979568,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.353177635201929,0.7059532905605787,False,0
28042.788761216696,16.38470262042435,6.939945740855625,9.444756879568725,6.912709678391499,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.4129765925931745,0.7238929777779524,False,0
28043.062164488965,16.03370287483449,7.3967240711454405,8.636978803689049,5.7982816202389,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.3720946830416545,0.7116284049124963,False,0
28043.33556776123,15.682703129244617,7.812927805549532,7.869775323695085,4.778367688605308,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.338496599079954,0.7015489797239862,False,-1
28043.608971033496,15.261503434536776,8.187068866133744,7.074434568403031,3.7829599681117587,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.312990558653893,0.6938971675961679,False,-1
28043.88237430576,14.699903841593,8.514207785904368,6.1856960556886325,2.748845058780019,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.2999134314513325,0.6899740294353998,False,-1
28044.15577757803,13.717104553941384,8.775548666619663,4.941555887321721,1.4291237442152864,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.333917778905818,0.7001753336717454,False,-1
28044.429180850297,12.593905368053813,8.967344265821716,3.626561102232097,0.10839627519553341,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.40133094666872,0.720399284000616,False,-1
28044.70258412256,11.47070618216624,9.09308783466596,2.3776183475002792,-1.0832569666483312,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.474430506422353,0.7423291519267058,False,-1
28044.975987394828,10.347506996278668,9.156097158720154,1.1914098375585134,-2.1554704978619115,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.545547206670947,0.7636641620012841,False,-1
28045.249390667093,9.434907657745017,9.170101776650222,0.2648058810947944,-2.9272622240982407,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.5847282839847745,0.7754184851954323,False,-1
28045.522793939363,8.452108370093399,9.134037053942743,-0.6819286838493444,-3.6794063949098015,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.6242228654733513,0.7872668596420054,False,-1
28045.796197211628,7.750108878913664,9.064522507676646,-1.3144136287629822,-4.0953055549215325,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.6312248470551323,0.7893674541165396,False,-1
28046.069600483894,7.750108878913664,8.998499668733063,-1.2483907898193989,-3.8268923283603637,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.590010261196932,0.7770030783590796,False,-1
28046.34300375616,7.89050877714962,8.942845419123055,-1.0523366419734348,-3.448461614130256,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.5463905235884905,0.7639171570765472,False,-1
28046.61640702843,8.030908675385561,8.89703894584724,-0.8661302704616798,-3.0983925530009597,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.5045084175035024,0.7513525252510507,False,-1
28046.88981030069,8.522308319211376,8.8782162714106,-0.35590795219922455,-2.458166754231902,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.476374215133109,0.7429122645399326,False,1
28047.16321357296,9.505107606862992,8.909704948011733,0.5954026588512598,-1.4311669398160092,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.4977047766360387,0.7493114329908116,False,1
28047.436616845225,10.838906640104485,9.006608517648788,1.832298122455697,-0.1845132432591945,0.12,8.333333333333334,0.03,5.305164769729845,0.03,2.5851362212758993,0.7755408663827698,False,1
